                                                                                                                             Layer       Input Shape  Parameters
                         ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_2/BatchNorm/feature_3/beta:0             (128)         128
                        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_3/BatchNorm/feature_3/gamma:0             (128)         128
                         ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_3/BatchNorm/feature_3/beta:0             (128)         128
                        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_0/BatchNorm/feature_4/gamma:0             (128)         128
                         ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_0/BatchNorm/feature_4/beta:0             (128)         128
                        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_1/BatchNorm/feature_4/gamma:0             (128)         128
                         ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_1/BatchNorm/feature_4/beta:0             (128)         128
                        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_2/BatchNorm/feature_4/gamma:0             (128)         128
                         ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_2/BatchNorm/feature_4/beta:0             (128)         128
                        ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_3/BatchNorm/feature_4/gamma:0             (128)         128
                         ssd_meta_arch_1/WeightSharedConvolutionalBoxPredictor/PredictionTower/conv2d_3/BatchNorm/feature_4/beta:0             (128)         128
             ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_20_depthwise_conv/depthwise_kernel:0    (3, 3, 128, 1)        1152
             ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_20_depthwise_conv/pointwise_kernel:0  (1, 1, 128, 128)       16384
                             ssd_meta_arch_1/ssd_mobile_net_v2_fpn_keras_feature_extractor_1/bottom_up_Conv2d_20_batchnorm/gamma:0             (128)         128
